ticker,rank,score,sector,equal_weight,risk_parity_weight,volatility_annual,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,tech_score,fund_score,sent_score,rsi,rsi
FANG,61,0.018138487504332442,Energy,0.003134796238244514,0.0024477167974473117,0.024381358941327504,0.003391343735243468,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,39.082475118513166,39.082475118513166
NXE,62,0.017685608246363657,Energy,0.003134796238244514,0.0016381637905322239,0.0364302166670956,0.005067288798988905,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,9.375003725289417,9.375003725289417
HAL,63,0.01732089247780161,Energy,0.003134796238244514,0.002210429690877739,0.02699867001948465,0.003755400617776213,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,28.18925875231413,28.18925875231413
ZS,64,0.016832589438777842,Technology,0.003134796238244514,0.002356596839382655,0.0253240863383799,0.003522473122236609,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,30.678769781044636,30.678769781044636
FTNT,65,0.01679049963615676,Technology,0.003134796238244514,0.002295177496851625,0.026001763221860978,0.003616735105698789,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,43.989924791236085,43.989924791236085
SHOP,66,0.016368079763754238,Technology,0.003134796238244514,0.001601322997461344,0.03726834743514647,0.0051838692380195665,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,36.72020514062655,36.72020514062655
MDB,67,0.016129107119501468,Technology,0.003134796238244514,0.0013638171495300878,0.04375855065749995,0.0060866290100057225,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,5.722357581978159,5.722357581978159
ICLN,68,0.015729730609585327,ETF - Other,0.003134796238244514,0.004071453622831702,0.014657826750283093,0.0020388416019583083,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,23.617577891355566,23.617577891355566
CTAS,69,0.01563733885349019,Industrials,0.003134796238244514,0.0043569390012788865,0.013697382912122968,0.001905247933064142,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,22.086168638924363,22.086168638924363
NEE,70,0.015506060448721612,Utilities,0.003134796238244514,0.0034093408140338953,0.01750445762993943,0.002434795897348682,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,35.329431587807335,35.329431587807335
VLO,71,0.015040798582126664,Energy,0.003134796238244514,0.0025498213250946854,0.023405036752158867,0.003255541454993868,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,10.83750235885401,10.83750235885401
TEAM,72,0.014418168168958965,Technology,0.003134796238244514,0.0019086576001689016,0.031267348224217076,0.004349155671472225,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,33.26907202142739,33.26907202142739
OR,73,0.01435081848813506,Basic Materials,0.003134796238244514,0.0026747209662199966,0.02231210753532148,0.0031035196312101518,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,26.36368450732421,26.36368450732421
OKTA,74,0.014236730661307331,Technology,0.003134796238244514,0.00204206733488717,0.02922462976891844,0.0040650221884734284,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,40.74844239724897,40.74844239724897
ON,75,0.01381482070322086,Technology,0.003134796238244514,0.0016051845693224728,0.03717869145133205,0.005171398470505425,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,37.76102124104188,37.76102124104188
MLM,76,0.01335970687318991,Basic Materials,0.003134796238244514,0.004147548599131365,0.014388899948701805,0.0020014350231873507,0.003134796238244515,50.0,50.0,100.0,50.0,50.0,12.751223519115626,12.751223519115626
AMZN,77,0.012371802808306904,Consumer Cyclical,0.003134796238244514,0.0027589099004208992,0.0216312471154549,0.0030088148313240446,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,44.459869140689065,44.459869140689065
XLP,78,0.012187258395723172,ETF - Other,0.003134796238244514,0.006850779709213017,0.008711221840197679,0.0012116940522127412,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,25.324187706787924,25.324187706787924
ETN,79,0.01217368664371656,Industrials,0.003134796238244514,0.0025405375912966165,0.02349056437099255,0.0032674379844293234,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,19.643515411590116,19.643515411590116
ARKK,80,0.012114495912720203,Technology,0.003134796238244514,0.0021321936563244645,0.027989325288658485,0.0038931965687313444,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,38.55198313413589,38.55198313413589
CDE,81,0.012035281968809488,Basic Materials,0.003134796238244514,0.0013887219716156955,0.04297380112438702,0.0059774736746012365,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,21.590923047912725,21.590923047912725
PSX,82,0.01178672935329566,Energy,0.003134796238244514,0.00267169258747283,0.022337398436146405,0.00310703748836806,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,9.924658451882337,9.924658451882337
CMG,83,0.011714952633353842,Consumer Cyclical,0.003134796238244514,0.0024507405275869944,0.024351277156231345,0.00338715948638038,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,28.516771318193094,28.516771318193094
